1173;AQUARE;0;BUETTE;AQUARELL251;AQ.BÜTTEN 251 MATT 200G;251 NATURWEISS;;50X65CMSB;BG;0.06;1.36;100.00;1.19;500.00;1.10;1000.00;0.00;0.00;0.00;0.00;O;0.00;48025890
1174;AQUARE;0;BUETTE;AQUARELL256;AQ.BÜTTEN 256 RAUH 200G;256 NATURWEISS;200g 50x65cm SB;50X65CMSB;BG;0.06;1.70;1.00;1.36;100.00;1.19;500.00;1.10;1000.00;0.00;0.00;H;0.00;48025890
17181;AQUARE;2;BUETTE;AQUARELL258;AQUARELL BÜTTEN 258 RAUH 200;102258 RAUH;;100X78CM;BG;0.16;4.14;1.00;3.31;100.00;2.90;500.00;2.69;1000.00;0.00;0.00;O;0.00;48025400
21846;AQUARE;8;BUETTE;AQUARELL958;AQ.AKADEMIE 958 SATIN. 300G;958 NATURWEISS;;100x70CMBB;BG;0.21;2.56;100.00;2.24;500.00;2.08;1000.00;0.00;0.00;0.00;0.00;O;0.00;48025890
21723;AQUARE;8;BUETTE;AQUARELL963;AQ.AKADEMIE 963 RAUH 300G;963 NATURWEISS;;100x70CMBB;BG;0.21;2.56;100.00;2.24;500.00;2.08;1000.00;0.00;0.00;0.00;0.00;O;0.00;48025890
2483;AQUARE;12;BUETTE;SCHULAQUARELL;SCHULAQUARELL 150G G'WEISS;;;43X61CMBB;BG;0.04;0.58;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;O;0.00;48025890
21848;AQUARE;99;BUETTE;AQUARELL231;AQ.BÜTTEN 231 MATT 300G HADERN;231 NATURWEISS;;56X76CMSB;BG;0.13;3.02;50.00;2.65;500.00;2.46;1000.00;0.00;0.00;0.00;0.00;O;0.00;48025890
21849;AQUARE;99;BUETTE;AQUARELL235;AQ.BÜTTEN 235 RAUH 300G HADERN;235 NATURWEISS;;56X76CMSB;BG;0.13;3.02;50.00;2.65;500.00;2.46;1000.00;0.00;0.00;0.00;0.00;O;0.00;48025890
21850;AQUARE;99;BUETTE;AQUARELL241;AQ.BÜTTEN 241 SATIN.300G HADER;241 NATURWEISS;;56X76CMSB;BG;0.13;3.02;50.00;2.65;500.00;2.46;1000.00;0.00;0.00;0.00;0.00;O;0.00;48025890
19449;AQUARE;99;BUETTE;AQUARELL277;AQ.BÜTTEN 277 MATT 300G HADERN;277 NATURWEISS;;50X65CMSB;BG;0.10;3.63;50.00;3.18;100.00;2.95;500.00;0.00;0.00;0.00;0.00;O;0.00;48025890
